dep_name,email,phone_number,l_id
'math',bgarrison0@foxnews.com,290-713-7882,1625883
'computer science',wbirdseye1@rediff.com,262-765-2424,6369325
'anthropology',onemchinov2@digg.com,241-890-6000,7507858
'art',epill3@com.com,347-231-4230,6273746
'history',mtrainer4@oakley.com,131-692-2002,5977504
'geographics',jridge5@salon.com,262-645-2004,7533224
'biology',dinchan6@ca.gov,143-958-7215,5060381
'cardiology',csouthcoat7@networkadvertising.org,722-224-8652,8196717
'chemistry',jdeave8@blinklist.com,277-722-2431,7706068
'physics',sapthorpe9@springer.com,250-878-1811,4053667
'astronomy',ekelloga@prnewswire.com,498-124-0725,1220190
'ecology',tlesaunierb@craigslist.org,670-113-4503,3172203
'economics',mavramovicc@theglobeandmail.com,121-905-5439,4388299
'english',nrumminsd@google.fr,477-661-0140,9396296
'engineering',hpetrielloe@wired.com,793-736-0028,6703192
'neurology',talbertsonf@time.com,795-487-6773,7188261
'oncology',hchafferg@phoca.cz,518-593-2523,5642776
'theatre',beidlerh@people.com.cn,588-364-6852,3887717
'psychology',wrummeri@shareasale.com,318-903-2779,8159570
'sociology',kgrishanovj@wikispaces.com,493-217-0522,5313507
