c_id,semester,course_year,s_id,grade,ex_grade,moedAgrade,moedBgrade
84269,2,2019,3785966,67.0,93,49,53
82740,1,2007,2822184,67.0,92,67,-1
31595,1,2010,4131852,73.0,83,63,-1
21591,2,2002,6548677,52.8,78,48,50
45413,2,2000,3104729,62.05,90,47,-1
68669,1,2004,9607941,89.5,86,91,-1
89372,2,2019,6203236,77.8,61,89,-1
85553,1,2002,1498256,64.6,80,52,-1
96765,1,2009,1717528,96.7,76,57,99
82173,2,2010,3796454,84.8,78,86,-1
85553,1,2002,3188492,69.75,78,63,-1
55129,1,2008,3322475,69.25,61,72,-1
99327,2,2001,6324172,83.95,69,44,92
80245,1,2015,9782918,96.64999999999999,89,98,-1
92919,2,2004,5737481,58.39999999999999,66,40,58
31981,1,2000,1132538,89.89999999999999,95,89,-1
71634,1,2018,1844386,63.0,82,61,63
23242,1,2016,1796160,77.25,73,78,-1
71634,2,2003,4131852,79.75,85,78,-1
44058,1,2006,1696551,73.0,69,74,-1
69914,1,2018,2822184,98.4,68,48,100
56562,2,2003,1565018,53.8,79,42,51
15282,2,2000,9013198,87.0,61,87,-1
94050,1,2015,7159795,78.35,66,79,-1
58517,1,2007,5105691,67.6,90,58,-1
22316,1,2001,8780413,81.05,96,73,-1
59621,2,2003,7945019,64.0,70,64,-1
50195,2,2004,1123383,66.75,83,58,-1
33402,2,2019,5686440,75.0,71,44,75
19565,1,2017,4647563,93.8,91,95,-1
30041,2,2015,3383775,79.75,83,78,-1
33402,2,2019,7275548,99.0,84,99,-1
85553,2,2014,2011250,91.2,99,40,87
74023,1,2002,7744561,93.0,74,93,-1
42780,1,2018,2016119,51.449999999999996,60,52,51
55150,1,2006,4975334,70.1,82,68,-1
77791,2,2020,4625274,78.65,91,72,-1
36530,2,2009,3779949,71.0,80,65,-1
35962,1,2014,6553920,83.30000000000001,91,77,-1
42780,1,2018,8925982,99.75,95,100,-1
71661,2,2014,2806090,87.89999999999999,86,88,-1
64296,2,2011,3125207,89.0,93,57,89
19696,2,2012,8450178,61.3,76,41,55
86959,1,2004,8048106,66.85,61,70,-1
65715,1,2016,1119794,62.0,61,55,62
80446,1,2001,8161621,85.5,77,94,-1
50614,1,2020,7633798,89.6,80,96,-1
